,Key,Cluster,Mean Value,Midline distance,AP position,Lateral position,Z position,Emission,Occupancy,kon,koff
53,1000227898.0,1.0,25913.751511665,736.7276148365729,227.354,100.583,-59.0045,12318.344527783636,0.09577435720475856,0.09659852395374696,0.9795811263031597
54,1000228212.0,0.0,46989.32265516923,-740.5361870582593,227.68099999999998,46.2096,-57.1988,13601.910378727913,0.1994775669057073,0.1527743505562516,0.6376736146121462
55,1000223875.0,1.0,14153.611117030097,-740.9375799276247,192.886,46.918,-56.4506,9997.871505651225,0.053535995805493786,0.05417280938325114,1.5882022587814044
56,1000223569.0,1.0,6893.17561338555,766.5582122184368,203.907,101.609,-59.6893,,0.017782236196115693,0.00560934392683169,0.5737375799550642
57,1000223893.0,1.0,20957.13545605296,-767.2592293434687,164.75099999999998,46.998000000000005,-56.733999999999995,16841.459643219627,0.075129620320434,0.10336217362395782,1.4102384417603633
58,1000223555.0,1.0,24503.665708716188,773.8008502396742,171.636,102.387,-61.7539,8730.831960797463,0.1026696215458328,0.09841886537625133,0.8509972065217061
59,1000223557.0,0.0,44830.076144275765,777.9037042750717,220.87,101.465,-59.2484,13460.205665637062,0.17493049171187686,0.1508101012743566,0.7349532082154178
60,1000223873.0,1.0,26448.93690899833,-806.3708025107197,171.62,46.1658,-53.8925,15205.485465256548,0.11033225635949993,0.15779268722047884,1.365564444644033
61,1000223515.0,0.0,80892.73256612117,824.8918286000943,215.34400000000002,102.412,-59.0358,11700.708725370861,0.3569301890926829,0.31755918302873776,0.5790818016033658
62,1000223556.0,0.0,50554.15528561608,824.9531095263252,192.838,102.87,-61.1257,12172.67509166845,0.21673048764849773,0.22065017163410222,0.7764163592620382
63,1000223881.0,2.0,92425.34501288216,-838.9988821158681,210.545,44.8131,-48.5085,13186.165753175126,0.402883917059765,0.34539429609948136,0.49365035132552215
64,1000223604.0,1.0,25930.41687314255,852.2538244178876,158.148,104.02600000000001,-61.4342,13727.291691411552,0.09366518920201583,0.10471780517487102,1.1567902961353245
65,1000223886.0,1.0,29680.86848469556,-857.56341746997,182.162,45.0677,-54.1521,8166.295345428337,0.13241406873434156,0.22470555594290148,1.723862181474753
66,1000223558.0,0.0,50673.11751014752,858.7912913280237,178.405,103.742,-59.8593,11241.0902717212,0.22413019064942738,0.28705039868128784,1.01033910563192
67,1000223650.0,1.0,28260.396478076334,859.9838040711064,164.91,104.027,-61.2361,13660.455680396479,0.1183400306931982,0.15453947297090503,1.0609176438711405
68,1000223567.0,0.0,37392.962226088785,862.1797150593283,198.31,103.402,-56.3075,11836.953092362231,0.1621459628537731,0.21807224192813654,1.3522345256250041
